base_dataset,algorithm,fraction,n_sequences,mean_time_s,std_time_s,median_time_s,min_time_s,max_time_s,cv_time,ci95_s,mean_n_rules,std_n_rules,mean_mem_mb,max_mem_mb,mean_mem_spmf_mb,max_mem_spmf_mb,mean_mem_rss_mb,max_mem_rss_mb,n_valid_runs
BMSWebView2,CMRules,0.2,15502,0.22012562475477657,0.001483193175125671,0.2200303333811462,0.21869237488135695,0.22165416600182652,0.006737939650497173,0.0016783910786812828,0.0,0.0,21.207590738932293,21.217994689941406,21.207590738932293,21.217994689941406,82.09375,83.21875,3
BMSWebView2,CMRules,0.4,31004,0.21738513900587955,0.00015110458167603502,0.2173447497189045,0.2172583332285285,0.2175523340702057,0.0006951007891664027,0.00017099093097663147,0.0,0.0,27.241134643554688,27.44780731201172,27.241134643554688,27.44780731201172,87.703125,91.546875,3
BMSWebView2,CMRules,0.6,46507,0.27381902777900297,0.0026140501098741394,0.27334462478756905,0.2714746668934822,0.2766377916559577,0.00954663425356954,0.0029580761678375703,0.0,0.0,42.51196543375651,42.650062561035156,42.51196543375651,42.650062561035156,102.5,102.96875,3
BMSWebView2,CMRules,0.8,62009,0.29203061123068136,0.03076039241364408,0.27519324980676174,0.2733646249398589,0.32753395894542336,0.1053327672876929,0.03480866084717603,0.0,0.0,37.60513051350912,38.075782775878906,37.60513051350912,38.075782775878906,119.671875,135.5625,3
BMSWebView2,CMRules,1.0,77512,0.3260048609226942,0.006225763506699044,0.3279527919366956,0.3190380409359932,0.33102374989539385,0.01909714931574399,0.007045114623547138,0.0,0.0,57.493934631347656,57.908531188964844,57.493934631347656,57.908531188964844,136.83854166666666,137.703125,3
BMSWebView2,RuleGrowth,0.2,15502,0.22367179160937667,0.00017328972119395777,0.22361574973911047,0.22353345807641745,0.2238661670126021,0.0007747500028818708,0.00019609577967108838,0.0,0.0,82.78645833333333,83.421875,0.0,0.0,82.78645833333333,83.421875,3
BMSWebView2,RuleGrowth,0.4,31004,0.21913608349859715,0.001694433783251459,0.2196507090702653,0.21724399970844388,0.22051354171708226,0.007732335798829345,0.0019174323297330828,0.0,0.0,85.20833333333333,87.28125,0.0,0.0,85.20833333333333,87.28125,3
BMSWebView2,RuleGrowth,0.6,46507,0.25615675033380586,0.02675681345162585,0.2713910420425236,0.2252616249024868,0.2718175840564072,0.10445484421846471,0.03027818475994746,0.0,0.0,101.60416666666667,102.15625,0.0,0.0,101.60416666666667,102.15625,3
BMSWebView2,RuleGrowth,0.8,62009,0.27209851347530883,0.005091184809580952,0.27170045766979456,0.2672180407680571,0.2773770419880748,0.01871081449345347,0.0057612179637991645,0.0,0.0,128.125,140.015625,0.0,0.0,128.125,140.015625,3
BMSWebView2,RuleGrowth,1.0,77512,0.27472788902620476,0.0020157530146584697,0.27524183318018913,0.2725049168802798,0.2764369170181453,0.007337271151478175,0.00228103926944042,0.0,0.0,134.44791666666666,134.953125,0.0,0.0,134.44791666666666,134.953125,3
BMSWebView2,ERMiner,0.2,15502,0.2201817501336336,0.0021075573443966214,0.22133470932021737,0.21774925012141466,0.2214612909592688,0.009571898411732553,0.0023849256482351257,0.0,0.0,82.22916666666667,82.78125,0.0,0.0,82.22916666666667,82.78125,3
BMSWebView2,ERMiner,0.4,31004,0.22061344500010213,0.0026133606182368783,0.21956670889630914,0.21868570894002914,0.2235879171639681,0.011845881008003245,0.0029572959346001117,0.0,0.0,92.40625,97.15625,0.0,0.0,92.40625,97.15625,3
BMSWebView2,ERMiner,0.6,46507,0.27728866692632437,0.002394751551380401,0.278442292008549,0.27453545900061727,0.27888824976980686,0.008636312395762957,0.002709916487550227,0.0,0.0,108.19270833333333,109.796875,0.0,0.0,108.19270833333333,109.796875,3
BMSWebView2,ERMiner,0.8,62009,0.2749969169187049,0.0034276913841691167,0.2738906666636467,0.2722589592449367,0.2788411248475313,0.012464472047817237,0.003878797944964041,0.0,0.0,128.36979166666666,140.875,0.0,0.0,128.36979166666666,140.875,3
BMSWebView2,ERMiner,1.0,77512,0.2783020276886721,0.0004305060297859769,0.2782500423491001,0.2778998748399317,0.2787561658769846,0.0015469022391298229,0.000487163433481994,0.0,0.0,134.65625,135.875,0.0,0.0,134.65625,135.875,3
Leviathan,CMRules,0.2,1166,0.38003687498470146,0.0004358444491131199,0.3801473747007549,0.3795564160682261,0.38040683418512344,0.0011468477871539834,0.0004932044236397173,0.0,0.0,66.81976318359375,66.93186950683594,66.81976318359375,66.93186950683594,119.30208333333333,120.84375,3
Leviathan,CMRules,0.4,2333,0.5465466802318891,0.001634323501751787,0.5457590837031603,0.5454552909359336,0.5484256660565734,0.0029902724888171955,0.0018494111428114792,0.0,0.0,144.97787729899088,145.58196258544922,144.97787729899088,145.58196258544922,183.16145833333334,184.921875,3
Leviathan,CMRules,0.6,3500,0.6566316668565074,0.0037403679838238072,0.6587853753007948,0.6523126671090722,0.6587969581596553,0.005696295461548587,0.004232624826164709,0.0,0.0,171.64535268147787,171.8520050048828,171.64535268147787,171.8520050048828,293.1666666666667,295.5,3
Leviathan,CMRules,0.8,4667,0.7132634863567849,0.005256218683380841,0.7157223750837147,0.707228499930352,0.716839584056288,0.007369252434648817,0.005947971372668159,0.0,0.0,157.80428822835287,161.59333038330078,157.80428822835287,161.59333038330078,315.140625,320.265625,3
